accommodationlist_name,addr,rates,visitors,reviews
에코랜드 호텔,제주특별자치도 제주시 번영로 1278-169,,,
에코힐링게스트하우스,경상남도 통영시 평인일주로 870,,,
에프엔티 호텔,광주광역시 서구 상무연하로 31,,,
엔브릿지호텔,전라북도 전주시 완산구 전주천서로 81 (동서학동),,,
엔비치 모텔,경상북도 포항시 북구 해안로 105,,,
엔젤드림펜션,강원특별자치도 평창군 봉평면 봉평북로 250-43,,,
엘도라도펜션,충청남도 태안군 남면 마검포길 331,,,
엘디스 리젠트 호텔,대구광역시 중구 달구벌대로 2033,,,
엘르인호텔,서울특별시 용산구 한강대로71길 24,,,
엘리스호텔,전라북도 군산시 가도안1길 19,,,
엘리시아,경상남도 양산시 원동면 청수골길 39,,,
엘리시아호텔,대구광역시 달서구 대곡동,,,
엘리시안 강촌 리조트,강원특별자치도 춘천시 남산면 북한강변길 688,,,
엘리야리조트,인천광역시 강화군 해안남로 2782-24,,,
엘리제모텔,부산광역시 중구 대청로126번길 22,,,
엘린호텔,제주특별자치도 제주시 은남1길 4,,,
엘림마리나 & 리조트,경상남도 남해군 동부대로1122번길 74-19,,,
엘마르펜션,경상남도 거제시 일운면 지세포해안로 258,,,
엘솔펜션,강원특별자치도 영월군 주천면 장충동길 242,,,
엘스관광호텔,강원특별자치도 정선군 사북읍 사북1길 21,,,
엘스테이(Gangnam AN guesthouse),서울특별시 서초구 사평대로53길 8-3,,,
엘시티 레지던스,부산광역시 해운대구 달맞이길 30 엘시티,,,
엠모텔,경기도 안산시 단원구 대부황금로 1188,,,
엠모텔,전라남도 목포시 호남로64번길 13,,,
엠버리조트,제주특별자치도 제주시 1100로 2671-51,,,
엠버서더 모텔,전라남도 순천시 상사호길 130,,,
엠보스모텔,전라남도 목포시 장미로 79,,,
엠블던호텔,경기도 안산시 단원구 중앙대로 869,,,
엠유(MU)모텔,전라남도 목포시 옥암로54번길 41,,,
엠제이호텔,제주특별자치도 제주시 신광로4길 16,,,
엠타워호텔,경기도 김포시 구래동,,,
여기바다,경기도 안산시 단원구 긴장불길 70-22,,,
여느,전라남도 구례군 천변길 116-68,,,
여락재,전라남도 강진군 달빛한옥길 38,,,
여로(산수동 한옥체험시설),광주광역시 동구 동계로 16-17,,,
여림재펜션,전라북도 완주군 죽림편백길 96,,,
여수 베네치아 호텔앤리조트,전라남도 여수시 오동도로 61-13,,,
여수 유탑 마리나 호텔&리조트,전라남도 여수시 오동도로 61-15,,,
여수夜호스텔,전라남도 여수시 하멜로 60,,,
여수노블호텔,전라남도 여수시 돌산읍 강남해안로 93,,,
여수밤바다 힐링파크 호스텔,전라남도 여수시 돌산읍 진모1길 29-38,,,
여수숙박 호스텔,전라남도 여수시 무선6길 43-12,,,
여수한옥체험관,전라남도 여수시 소라면 상관길 47,,,
여우비관광호텔,울산광역시 남구 산업로647번길 14,,,
여우재산장,경기도 포천시 이동면 여우고개로242번길 21-32,,,
여울목펜션,강원특별자치도 화천군 사내면 화악산로 618-3,,,
여유,경상북도 문경시 중앙4길 22,,,
여의당,전라남도 나주시 금천면 촌곡길 66,,,
여천모텔,전라남도 여수시 시청동2길 36,,,
여행가,전라북도 전주시 완산구 은행로 74-11,,,
연경당,전라남도 광양시 중흥로 13-40,,,
연당,서울특별시 종로구 계동6길 3,,,
연리지펜션,경기도 화성시 서신면 해안길 150,,,
연어의 고향 펜션,강원특별자치도 양양군 양양읍 동해신묘길 8-3,,,
연우당,전라북도 전주시 완산구 태조로 12-17,,,
연우펜션,경상남도 하동군 화개면 화개로 1433,,,
연우하우스,서울특별시 종로구 북촌로12길 5-13,,,
연지펜션,경상남도 통영시 산양읍 양화길 158,,,
연천미라클타운,경기도 연천군 군남면 군중로 134,,,
연천세계캠핑체험존(펜션),경기도 연천군 선사로 123,,,
연평도 갈가마펜션,인천광역시 옹진군 연평면 연평로 712-16,,,
연포리조트,충청남도 태안군 근흥면 연포2길 57,,,
연풍고가,경상북도 고령군 쌍림면 개실1길 44,,,
연풍고택(문충고가),경상북도 고령군 쌍림면 개실1길 44,,,
연호리조트,강원특별자치도 속초시 싸리재길 247-20,,,
엽연초하우스,충청북도 제천시 의병대로12길 8,,,
영광컨트리클럽,전라남도 영광군 해안로 1362-70 웨스트오션 클럽하우스,,,
영랑호리조트,강원특별자치도 속초시 영랑호반길 170,,,
영모텔,충청남도 천안시 동남구 신부2길 30,,,
영빈모텔,경상남도 통영시 안개로 15-21,,,
영빈호텔,서울특별시 중구 퇴계로56길 18,,,
영산나루,전라남도 나주시 주면1길 14,,,
영암연희한옥펜션,전라남도 영암군 왕인로 690-17,,,
영일대 게스트하우스,경상북도 포항시 북구 삼호로 73,,,
영조관,전라북도 전주시 완산구 춘향로 5218-12,,,
영주온천호텔,경상북도 영주시 대학로240번길 8,,,
영진한옥애,강원특별자치도 강릉시 연곡면 홍질목길 16-2,,,
영흥도관광펜션,인천광역시 옹진군 영흥면 영흥로156번길 33-17,,,
예그리나 호스텔(인천공항 예그리나 호텔),인천광역시 중구 마시란로 51-13,,,
예그린농장,충청북도 충주시 신니면 내포길 37,,,
예다움,경상남도 산청군 단성면 지리산대로 2901-6,,,
예다원,전라북도 전주시 완산구 향교길 85-34,,,
예래펜션,제주특별자치도 서귀포시 예래해안로 527,,,
예린당 바이 버틀러리,서울특별시 종로구 자하문로5가길 17-8,,,
예본의 집,서울특별시 강남구 개포로118길 64,,,
예솔누리,강원특별자치도 영월군 무릉도원면 도원운학로 1069,,,
예스모텔,전라북도 군산시 가도안1길 61,,,
예움터마을 명덕재(전통 리조트 구름에-명덕재),경상북도 안동시 민속촌길 190,,,
예움터마을 일신재(전통 리조트 구름에-일신재),경상북도 안동시 민속촌길 190,,,
예원당(한옥체험 예원당),전라북도 전주시 완산구 어진길 33-10,,,
예이츠 산장,제주특별자치도 서귀포시 남원읍 516로 918,,,
예직한옥체험마을(용인예직한옥체험 마을),경기도 용인시 처인구 예직로 24-28,,,
예하도예 게스트하우스(YEHADOYE guesthouse),서울특별시 종로구 인사동12길 10,,,
예향,강원특별자치도 홍천군 화촌면 도광터길 208,,,
예향펜션,경상남도 통영시 산양읍 논아랫개길 134-48,,,
옐로우라이트하우스,부산광역시 수영구 광안해변로370번길 9-32,,,
옛날에금잔디,인천광역시 강화군 내가면 강화서로225번길 18-1,,,
옛마실펜션,경상남도 거제시 마전1길 65,,,
오늘,전라북도 전주시 완산구 향교길 155-26,,,
오늘이 호스텔,전라남도 여수시 하멜로 55-3,,,
오대산 자연명상마을,강원특별자치도 평창군 진부면 동산리 312,,,
오대산별빛동산펜션,강원특별자치도 평창군 진부면 방아다리로 301-18,,,
오대산콘도&모텔,강원특별자치도 평창군 진부면 경강로 4070,,,
오동도펜션,전라남도 여수시 하멜로 78,,,
오라카이 송도파크호텔,인천광역시 연수구 테크노파크로 151,,,
오람정,경상북도 경주시 내남면 내남로 393-62,,,
오렌지 게스트하우스,서울특별시 마포구 동교로 148-12,,,
"오롯이, 한옥",서울특별시 종로구 필운대로5가길 13-4 (누하동),,,
오류헌,경상북도 안동시 임하면 기르마제길 18-15,,,
오르세호텔,경기도 수원시 팔달구 인계로124번길 27-7,,,
오버더마운틴,경기도 가평군 상면 수목원로386번길 75,,,
오벨리스크,강원특별자치도 철원군 동송읍 태봉대교길 139,,,
오블라디풀빌라리조트,경기도 파주시 문산읍 문현말길 113-2,,,
오색그린야드호텔,강원특별자치도 양양군 서면 대청봉길 34,,,
오션그랜드호텔제주,제주특별자치도 제주시 조천읍 조함해안로 490,,,
오션벨리리조트,강원특별자치도 양양군 양양읍 일출로 127-30,,,
오션뷰1102B,경상남도 거제시 덕포5길 32-1,,,
오션뷰리조텔,충청남도 보령시 대천항1길 17,,,
오션뷰호텔,울산광역시 동구 해수욕장1길 50,,,
오션빌리지,충청남도 태안군 안면읍 방포1길 110,,,
오션사이드 호텔,인천광역시 중구 마시란로 40,,,
오션솔레뷰호텔,인천광역시 중구 영종진광장로 32,,,
오션스위츠 제주호텔,제주특별자치도 제주시 탑동해안로 74,,,
오션스퀘어리조트,제주특별자치도 서귀포시 성산읍 환해장성로 667,,,
오션투유리조트 속초설악비치 호텔앤콘도,강원특별자치도 고성군 죽왕면 삼포해변길 9,,,
오션파크나인호텔,인천광역시 중구 영종진광장로 10,,,
오션하우스,제주특별자치도 서귀포시 안덕면 사계남로216번길 42,,,
오션힐리조트,충청남도 태안군 남면 곰섬로 430-37,,,
오션힐스테이,제주특별자치도 서귀포시 안덕면 사계북로 208,,,
오션힐호텔,전라남도 여수시 돌산읍 강남해안로 81,,,
오슬로 무인텔,인천광역시 연수구 능허대로 120,,,
오아시스 호스텔,서울특별시 강남구 테헤란로8길 13,,,
오아시스호텔,경상남도 거제시 장평4로2길 11-9,,,
오아시타 호스텔,광주광역시 동구 동명로20번길 20,,,
오엔시티호텔,충청남도 천안시 서북구 불당4로 105,,,
오월의 푸른하늘,경기도 이천시 마장면 덕평로877번길 16,,,
오유당,전라남도 영광군 백수읍 백수로7길 15,,,
오이아호텔,부산광역시 사하구 다대동로 45,,,
오즈모텔,강원특별자치도 횡성군 횡성읍 앞들동남로 7,,,
오캄럭스클럽1단지,강원특별자치도 홍천군 서면 굴업솔골길 33,,,
오캄럭스클럽2단지,강원특별자치도 홍천군 서면 굴업솔골길 31,,,
오캄럭스클럽3단지,강원특별자치도 홍천군 서면 굴업솔골길 29,,,
오케이 게스트하우스,서울특별시 동작구 알마타길 21-18,,,
오케이모텔,전라북도 군산시 백릉안5길 59,,,
오크밸리,강원특별자치도 원주시 지정면 오크밸리1길 66,,,
오크우드 프리미어 인천,인천광역시 연수구 컨벤시아대로 165,,,
오크우드 프리미어 코엑스,서울특별시 강남구 테헤란로87길 46,,,
오크카운티펜션,강원특별자치도 원주시 지정면 구재로 352-4,,,
오클라우드호텔,서울특별시 서초구 사평대로58길 12 오클라우드 호텔,,,
오키드호텔,강원특별자치도 원주시 봉화로 26,,,
오투오션,충청남도 태안군 이원면 원이로 2502-47,,,
오투힐리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6,,,
오페라 모텔,경상남도 통영시 광도면 죽림5로 25-25,,,
오페라모텔,전라남도 여수시 돌산읍 강남1길 39-17,,,
오피스제주 사계점,제주특별자치도 서귀포시 향교로 214,,,
오핑펜션,강원특별자치도 양양군 강현면 뒷나루2길 24-1,,,
오헤브데이호텔,전라북도 남원시 운봉읍 용산리,,,
오호락,경상남도 고성군 동해면 동해로 1016-8,,,
오후엔,인천광역시 옹진군 장봉로26번길 76-28,,,
오히,경상북도 경주시 탑리1길 18-31 (탑동),,,
옥산정사 독락당,경상북도 경주시 안강읍 옥산서원길 300-3,,,
옥연정사,경상북도 안동시 풍천면 광덕솔밭길 86,,,
옥천전통문화체험관,충청북도 옥천군 향수길 100,,,
온계종택 삼백당,경상북도 안동시 온혜중마길 20,,,
온계종택(삼백당),경상북도 안동시 도산면 온혜중마길 20,,,
온고을,전라북도 전주시 완산구 향교길 51-10,,,
온나 게스트하우스,대구광역시 중구 남성로 4,,,
온도호텔,대구광역시 달서구 야외음악당로 213-1,,,
온마루,경상북도 경주시 하동당숲길 23-5,,,
온양제일호텔,충청남도 아산시 온천대로 1462,,,
온연 프라이빗 빌라,충청남도 예산군 온천단지1로 69-5,,,
온유헌 바이 버틀러리,서울특별시 종로구 계동길 92-19 (계동),,,
온천모텔사우나,경상남도 하동군 화개면 화개로 413,,,
온천스파벨리,충청남도 아산시 음봉면 아산온천로243번길 89,,,
올가리조트,경상남도 통영시 용남면 화포1길 59-83,,,
올리브뷰띠끄,강원특별자치도 평창군 대관령면 눈마을길 39,,,
올리브펜션,강원특별자치도 동해시 일출로 369,,,
올림피아호텔,강원특별자치도 강릉시 용지각길38번길 4 (포남동),,,
올인호텔,인천광역시 연수구 능허대로179번길 60,,,
옹기종기펜션,강원특별자치도 평창군 평창읍 등강길 10-4,,,
옹달샘펜션,경기도 가평군 설악면 유명산길 108,,,
와담정,경상북도 경주시 천원1길 18,,,
와이리조트 제주(Y RESORT JJ),제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75,,,
와이앤지(Y&G),강원특별자치도 강릉시 경포로475번길 41,,,
와이이제이,경기도 수원시 팔달구 화산로 57,,,
와이즈하우스,서울특별시 마포구 월드컵북로6길 89-9,,,
와이즈하우스1,서울특별시 마포구 월드컵북로6길 89-9,,,
왕의지밀 고종관,전라북도 전주시 완산구 춘향로 5218-8,,,
왕의지밀 문종관,전라북도 전주시 완산구 춘향로 5218-20,,,
왕의지밀 선조관,전라북도 전주시 완산구 춘향로 5218-16,,,
왕의지밀 세조관,전라북도 전주시 완산구 춘향로 5218-18,,,
왕의지밀 세종관,전라북도 전주시 완산구 춘향로 5218-22,,,
왕의지밀 숙종관,전라북도 전주시 완산구 춘향로 5218-14,,,
왕의지밀 순종관,전라북도 전주시 완산구 춘향로 5218-6,,,
왕의지밀 정조관,전라북도 전주시 완산구 춘향로 5218-10,,,
왕의지밀 태조관,전라북도 전주시 완산구 춘향로 5218-26,,,
왕의지밀 태종관,전라북도 전주시 완산구 춘향로 5218-24,,,
왕포리조텔,전라북도 부안군 진서면 왕포길 30-12,,,
외암민속마을생활관,충청남도 아산시 송악면 외암민속길 42-7,,,
욕지 굿모닝펜션,경상남도 통영시 욕지면 욕지일주로 822,,,
욕지하늘마루펜션,경상남도 통영시 욕지면 욕지일주로 449,,,
욕지현재펜션,경상남도 통영시 욕지면 천왕로 46,,,
욜로게스트하우스(Yolo guest house),서울특별시 중구 퇴계로20나길 2-8,,,
욜로하우스,강원특별자치도 평창군 미탄면 마하길 41-14,,,
용문 벨라지오,경기도 양평군 용문면 도매기길 10,,,
용산 제주유스호스텔,제주특별자치도 서귀포시 이어도로 297,,,
용인 진펜션,경기도 용인시 처인구 이동읍 안터로45번길 24-8,,,
용평리조트 그린피아콘도,강원특별자치도 평창군 대관령면 올림픽로 715,,,
용평리조트 빌라콘도,강원특별자치도 평창군 대관령면 올림픽로 715,,,
용평리조트 타워콘도,강원특별자치도 평창군 대관령면 올림픽로 715,,,
용화호텔,"강원특별자치도 삼척시 삼척로 2154 장호용화관광랜드, 장호주유소",,,
우리두리펜션,충청남도 태안군 남면 달산포로 172-22,,,
우리민박,강원특별자치도 평창군 봉평면 태기로 493,,,
우리벨리,경기도 양평군 단월면 상가마길1번길 20,,,
우리빌리지펜션,강원특별자치도 평창군 봉평면 흥정계곡길 401,,,
우리집펜션,충청남도 태안군 남면 진산2길 144,,,
우명리 정씨고가(효리댁),경상남도 함양군 수동면 효리길 6,,,
우명리정씨고가(효리댁)(우명리 정씨고가),경상남도 함양군 수동면 효리길 6,,,
우미정,강원특별자치도 평창군 진부면 장전길 331,,,
우제스테이,충청북도 충주시 주정산로 50 크라운호텔,,,
우포5마일,경상남도 창녕군 이방면 우포2로 213-7,,,
우포생태촌 유스호스텔,경상남도 창녕군 이방면 우포2로 330,,,
운정루,경상북도 경주시 칠불암길 77-14,,,
울릉 대아리조트,경상북도 울릉군 울릉읍 사동1길 43,,,
울산 굿모닝 관광호텔,울산광역시 동구 바드래1길 15,,,
울산시티호텔,울산광역시 남구 삼산로 246,,,
워싱턴모텔,전라남도 목포시 평화로83번길 3-2,,,
원모텔,강원특별자치도 원주시 현충로 20-7,,,
원탑 풀빌라,경상남도 통영시 도산일주로 1810,,,
원학고가,경상남도 거창군 위천면 황산1길 109-5,,,
월드관광호텔,경기도 화성시 향남읍 발안공단로5길 7-23,,,
월드스카이호텔,강원특별자치도 속초시 청초호반로 267,,,
월드와이드 유스호스텔,제주특별자치도 제주시 애월읍 광령평화2길 116-12,,,
월미도 다이아몬드호텔,인천광역시 중구 월미로 229,,,
월미도 해월관광호텔,인천광역시 중구 월미로260번길 8,,,
월악산 송계펜션,충청북도 제천시 한수면 미륵송계로3길 18,,,
월악산 유스호스텔,충청북도 제천시 한수면 월악로 1372,,,
월악펜션빌,충청북도 제천시 한수면 미륵송계로3길 46-23,,,
월암재,경상북도 경주시 남간안길 5-10,,,
월암종택(김호장군고택),경상북도 경주시 식혜골길 35,,,
월인당,전라남도 영암군 모정1길 37-11,,,
월정사 템플스테이,강원특별자치도 평창군 진부면 오대산로 374-8,,,
월출산 달빛정원,전라남도 영암군 군서면 월암길 116-11,,,
월출산 청풍명월,전라남도 영암군 군서면 월암길 116-29,,,
웨스턴라이프호텔,전라북도 익산시 동서로 380,,,
웨스턴베이마리나호텔,경기도 평택시 평택항로184번길 3-21,,,
웨스트레이븐호텔,경기도 시흥시 옥터로 3,,,
웨스트오브가나안,충청북도 괴산군 수옥정길 175-1 (주)네패스 이엔씨,,,
웨스트힐스 프라이빗 풀빌라,전라남도 여수시 돌산읍 몰둠벙길 22-9,,,
웨스틴 조선 부산,부산광역시 해운대구 동백로 67,,,
웨스틴 조선 서울,서울특별시 중구 소공로 106,,,
웨이포인트 풀빌라,경상남도 남해군 남서대로 1803-64,,,
웰리스펜션,경기도 용인시 처인구 양지면 새실로75번길 2-8,,,
웰리힐리파크,강원특별자치도 횡성군 둔내면 고원로 451,,,
웰리힐리파크 유스호스텔,강원특별자치도 횡성군 둔내면 고원로 451,,,
웰호텔,전라남도 목포시 비파로116번길 6-2,,,
위고인호스텔,서울특별시 서대문구 신촌로 141 위고인 호스텔,,,
위너스관광호텔,인천광역시 중구 왕산로 40,,,
위너스모텔,강원특별자치도 속초시 먹거리2길 33,,,
위드오션,충청남도 태안군 이원면 원이로 2166,,,
위드유,강원특별자치도 속초시 동해대로 3993,,,
위딜펜션,인천광역시 강화군 삼산면 삼산남로 902-19,,,
위연재,경상북도 경주시 쪽샘길 7,,,
위즈호텔,경기도 파주시 탄현면 성동로 20-45,,,
윈호텔,경상북도 안동시 옥명길 28,,,
윙민박,부산광역시 해운대구 송정중앙로6번길 36,,,
유)한성 마드리드 광주호텔,광주광역시 광산구 광산로19번길 11,,,
유니스테이,경상남도 통영시 사량면 대항길 64-44,,,
유니온관광호텔,대구광역시 중구 태평로 117,,,
유달장,전라남도 목포시 용당로216번길 24,,,
유로빌리지,전라북도 군산시 옥구읍 신장길 26,,,
유로파라텔,서울특별시 구로구 새말로18길 142,,,
유리트리트,강원특별자치도 홍천군 한서로 1468-55,,,
유성호텔,대전광역시 유성구 온천로 9,,,
유신펜션,경기도 파주시 광탄면 보광로 774,,,
유알풀빌라펜션,강원특별자치도 원주시 지정면 지정로 912-1,,,
유앤아이 호텔,인천광역시 미추홀구 미추홀대로722번길 25 유앤아이,,,
유어스호텔,제주특별자치도 서귀포시 천제연로178번길 21 (중문동),,,
유에이치 스위트 하버타운,부산광역시 해운대구 해운대해변로 257 하버타운,,,
유에이치스위트 랜드스케이프 11-13층,부산광역시 해운대구 해운대해변로 271 씨스타,,,
유에이치스위트 랜드스케이프 14층,부산광역시 해운대구 해운대해변로 271 씨스타,,,
유에이치스위트 해운대 4층,부산광역시 해운대구 해운대해변로 271 씨스타,,,
유원게스트하우스,대구광역시 남구 앞산순환로93길 48,,,
유준당 바이 버틀러리,서울특별시 종로구 계동4길 10-4 (계동),,,
유탑부티크호텔앤레지던스,광주광역시 서구 시청로 53,,,
유토피아가족호텔,전라남도 목포시 평화로 65-9,,,
유토피아관광호텔,부산광역시 수영구 무학로9번길 133,,,
유플러스 모텔,경상남도 양산시 북안남1길 4,,,
윤스호텔,경상남도 통영시 산양읍 산양중앙로 321,,,
율시헌,경상북도 안동시 남후면 암산길 258-9,,,
융프라우펜션,강원특별자치도 평창군 대관령면 차항길 192-75,,,
으지네민박,강원특별자치도 평창군 탑동길 108-16,,,
은빛여울펜션,강원특별자치도 평창군 진부면 오대천로 1076,,,
은하수와여울 펜션,강원특별자치도 정선군 정선읍 외반점길 102-25,,,
은혜당,경상북도 영덕군 축산면 상원길 109-24,,,
음악이흐르는숲,강원특별자치도 평창군 방림면 고원로 520-97,,,
응아지나루,강원특별자치도 홍천군 남면 응아지길 90,,,
응정헌,서울특별시 은평구 연서로50길 19,,,
의성소우당,경상북도 의성군 산운마을길 55,,,
이가한옥,전라북도 전주시 완산구 간납로 8,,,
이그니스모텔(구 맨하탄모텔),부산광역시 동래구 중앙대로1473번길 14-13,,,
이끌림 비지니스호텔 하남,광주광역시 광산구 무진대로212번길 14-27,,,
이끌림 클래식 호텔 평택점,경기도 평택시 평택항로184번길 3-13,,,
이너스 호텔,경상북도 문경시 문경읍 온천강변2길 46,,,
이뜨랜리조트,경기도 가평군 가평읍 북한강변로 326-128,,,
이랑한옥스테이,전라북도 임실군 인덕로 1571-6,,,
이레펜션,충청남도 태안군 근흥면 연포1길 2,,,
이른아침호숫가펜션,충청북도 제천시 청풍면 청풍호로42길 53-15,,,
이리루 한옥부틱게스트하우스,서울특별시 은평구 연서로50길 11-44 이리루,,,
이바구캠프,부산광역시 동구 망양로525번길 22,,,
이브(이브게스트하우스),서울특별시 중구 퇴계로20길 41-14,,,
이브텔,경기도 파주시 탄현면 필승로 446,,,
이비스 스타일 앰배서더 서울 강남,서울특별시 강남구 삼성로 431,,,
이비스 앰배서더 명동,서울특별시 중구 남대문로 78,,,
이비스 앰배서더 부산 시티센터,부산광역시 부산진구 중앙대로 777,,,
이비스 앰배서더 수원,경기도 수원시 팔달구 권광로 132,,,
이석고택,경상북도 칠곡군 왜관읍 매원2길 43,,,
이스턴 관광호텔,강원특별자치도 동해시 한섬로 112-4,,,
이스턴파크,강원특별자치도 평창군 봉평면 안흥동1길 47,,,
이스턴호텔제주,제주특별자치도 서귀포시 서호중로 65 (서호동),,,
이스트 호스텔,강원특별자치도 동해시 동해대로 6267,,,
이시아호텔,대구광역시 동구 팔공로47길 38,,,
이어도성 펜션,제주특별자치도 서귀포시 천제연로 113,,,
이에스리조트클럽 제천,충청북도 제천시 수산면 옥순봉로 1248,,,
이엘호텔,강원특별자치도 양양군 강현면 동해대로 3347,,,
이오이일,전라북도 전주시 완산구 오목대길 5-19 (교동),,,
이웃,전라북도 군산시 구영1길 11-2,,,
이즈앳케이 게스트하우스(어뮤즈게스트하우스),서울특별시 용산구 보광로50길 24-9,,,
이지레지던스호텔,경기도 수원시 팔달구 권선로741번길 16-4,,,
이지스모텔,강원특별자치도 태백시 서황지로 88,,,
이천 부띠끄 XYM,경기도 이천시 경충대로2529번길 1,,,
이천백사 산수유영농조합법인(이천산수유마을),경기도 이천시 백사면 원적로775번길 17,,,
이츠호텔,인천광역시 중구 연안부두로53번길 15,,,
이코노미 해운대점,부산광역시 해운대구 구남로12번길 11,,,
이코노미호텔 남포점,부산광역시 중구 광복로85번길 12,,,
이코노미호텔 인천부평점,인천광역시 부평구 부평대로296번길 88-6,,,
이태원타임존게스트하우스,서울특별시 용산구 보광로55길 1-11,,,
이티성 풀빌라,충청북도 청주시 상당구 미원면 미원초정로 986,,,
이화고택,전라북도 전주시 완산구 한지길 91,,,
이화당,전라남도 나주시 금천면 촌곡길 66,,,
이화한옥,서울특별시 종로구 필운대로 26-25,,,
익산그랜드팰리스호텔,전라북도 익산시 목천로1길 9,,,
익산유스호스텔,전라북도 익산시 마한로 11,,,
인 게스트하우스,서울특별시 마포구 성미산로1길 68,,,
인더가든 212,서울특별시 동작구 흑석로6나길 40,,,
인더가든(IN THE GARDEN)(인더가든186),서울특별시 동작구 흑석로5길 93,,,
인디프레젠트호텔,경기도 구리시 갈매동,,,
인마이라이프,강원특별자치도 홍천군 서면 팔봉강변길 273,,,
인문힐링센터 여명,경상북도 영덕군 장육사1길 203,,,
인스타 관광호텔,대구광역시 동구 율암로 164,,,
인스파이어 엔터테인먼트 리조트,인천광역시 중구 공항문화로 127 (운서동),,,
인심좋은웅기댁,경상북도 고령군 쌍림면 개실1길 32,,,
인앤김펜션,경상남도 통영시 산양읍 이운길 64-40,,,
인연,전라북도 전주시 완산구 한지길 36,,,
인우하우스,서울특별시 종로구 계동6길 9,,,
인제관광농원,강원특별자치도 인제군 상남면 밀기울길 130,,,
인제스피디움,강원특별자치도 인제군 기린면 상하답로 130,,,
인제호텔(INJE HOTEL),강원특별자치도 인제군 인제읍 인제로187번길 4,,,
인천공항비치호텔,인천광역시 중구 용유서로 373-1,,,
인천공항영종게스트하우스(영종게스트하우스),인천광역시 중구 눈돌로13번길 8,,,
인천공항호텔(Hotel Incheon Airport),인천광역시 중구 신도시남로149번길 11,,,
인천스테이호텔,인천광역시 연수구 능허대로 181,,,
인천아웃백 게스트하우스(INCHEON OUTBACK GUESTHOUSE),인천광역시 부평구 주부토로 12,,,
인천에어텔,인천광역시 중구 신도시남로149번길 3,,,
인터컨티넨탈 서울코엑스,서울특별시 강남구 봉은사로 524,,,
인터컨티넨탈 알펜시아 평창 리조트,강원특별자치도 평창군 대관령면 솔봉로 325,,,
일독일박,서울특별시 종로구 필운대로3길 11-1,,,
일루와유 달보루,서울특별시 은평구 연서로50길 7-9,,,
일리있는풀빌라,경상남도 합천군 대병면 합천호반로 96,,,
일마레변산리조트,전라북도 부안군 변산면 궁항로 91,,,
일몰이아름다운한옥,전라남도 순천시 와온1길 45,,,
일성 경주보문콘도&리조트,경상북도 경주시 보문로 365,,,
일성남한강콘도&리조트,경기도 여주시 신륵로 5,,,
일성무주콘도&리조트,전라북도 무주군 무풍면 라제통문로 455,,,
일성부곡온천콘도&리조트,경상남도 창녕군 부곡면 온천로 594,,,
일성설악온천콘도&리조트,강원특별자치도 고성군 토성면 고성대로 47-24,,,
일성지리산콘도&리조트,전라북도 남원시 산내면 천왕봉로 626-25,,,
임실필봉농악보존회,전라북도 임실군 강운로 272 필봉문화촌,,,
임피리얼 팰리스 부티크 호텔,서울특별시 용산구 이태원로 221 임피리얼 팰리스  부티크 호텔,,,
잊음,경상남도 통영시 충렬4길 33-5,,,
자드락,충청남도 태안군 이원면 원이로 2535-139,,,
자라모텔,경상북도 경주시 보문로 465-20,,,
자라무인텔,전라남도 목포시 평화로61번길 8,,,
자연닮은 치유농장,대구광역시 군위군 삼국유사면 화산산성길 65-1,,,
자연담은(자연담은펜션),전라남도 여수시 돌산읍 돌산로 3086,,,
자연속으로,충청남도 공주시 계룡면 되찬길 44,,,
자연쉼터,경기도 양평군 서종면 중미산로 479,,,
자연스토리,전라남도 해남군 삼산면 민박촌길 77,,,
자연향기펜션,경기도 양평군 서종면 바치울길 151-12,,,
자우리호텔,대전광역시 유성구 계룡로 157,,,
자우리호텔 당진점,충청남도 당진시 석문면 통정리,,,
자이언트 호텔,서울특별시 강남구 봉은사로 459,,,
자자백팩커스,서울특별시 중구 퇴계로20길 35,,,
자자호텔,경상남도 고성군 영오면 오서1길 95,,,
자자호텔,충청남도 천안시 서북구 성정동,,,
자함헌,서울특별시 은평구 진관길 11-11,,,
작은섬모텔,경상남도 통영시 산양읍 이운길 64-6,,,
작은통나무집 펜션,강원특별자치도 평창군 방림면 월암길 41-7,,,
작은행복,경상북도 포항시 북구 흥해읍 해안로 1727,,,
잠실 상주호텔,서울특별시 송파구 올림픽로8길 19,,,
장꽁펜션,충청남도 태안군 안면읍 해안관광로 510-5,,,
장락원(장락원전통한옥펜션),경기도 가평군 설악면 미사리로 914,,,
장령산자연휴양림,충청북도 옥천군 장령산로 519,,,
장미빛인생,충청남도 태안군 안면읍 꽃지2길 58-16,,,
장보고한옥펜션,인천광역시 강화군 송해면 강화대로833번길 44-30,,,
장산모텔,충청남도 태안군 태안읍 삼한길 4,,,
장연 한옥체험센터(양평이포한옥),경기도 양평군 개군면 여양로 2114,,,
장충영각,충청남도 홍성군 구항면 거북로 422-41,,,
장흥 달바위펜션(Full Moon 달바위펜션),전라남도 장흥군 안양면 비동동촌길 46,,,
저스트슬립호텔 김포구래1호점,경기도 김포시 김포한강9로75번길 72,,,
저스트슬립호텔 지행역점,경기도 동두천시 중앙로 110-9 한스빌딩,,,
